order_id,order_date,covid_phase,customer_id,state,warehouse_id,product_id,product_category,order_channel,order_quantity,unit_price,discount_pct,marketing_channel,ad_spend_myr,website_traffic_source,sales_revenue,customer_segment,customer_age_group,payment_method,delivery_time_days,delivery_status,shipping_cost_rm,inventory_level_pct,stockout_flag,return_flag,customer_rating
ORD100979,2020-01-01,Pre-MCO,CUST90130,Kedah,Klang Valley Hub,SPO-2198,Sports & Outdoor,Website,2,112.55,2.6,Affiliate,1281.07,Organic Search,2521.65,Returning,25-34,COD,1.8,Delayed,6.83,32.0,0,0,4.7
ORD101137,2020-01-01,Pre-MCO,CUST21830,Negeri Sembilan,Klang Valley Hub,BNK-3692,Baby & Kids,Marketplace,7,48.07,15.0,Organic Search,461.46,Social Media,729.29,New,18-24,Card,2.1,On-Time,6.36,92.6,0,0,3.7
ORD101975,2020-01-01,Pre-MCO,CUST90032,Sabah,Northern Hub,ELE-3139,Electronics,Mobile App,3,312.75,15.0,Organic Search,922.98,Referral,2094.1,Loyal/VIP,25-34,E-Wallet,1.6,On-Time,11.06,47.8,0,0,4.5
ORD103047,2020-01-01,Pre-MCO,CUST90405,Perak,Penang Hub,ELE-2660,Electronics,Website,3,314.17,10.7,Influencer,733.64,Direct,2643.57,Returning,18-24,Card,3.6,Delayed,9.95,43.9,0,0,4.3
ORD102032,2020-01-01,Pre-MCO,CUST90407,Sarawak,Penang Hub,GRC-5450,Groceries,Website,4,21.8,10.6,Google Ads,806.02,Referral,1969.82,Returning,18-24,COD,1.2,On-Time,8.89,22.9,0,0,4.5
ORD103246,2020-01-01,Pre-MCO,CUST90364,Selangor,Penang Hub,FSH-4175,Fashion,Website,6,57.48,8.8,Organic Search,612.46,Social Media,1409.0,Returning,18-24,E-Wallet,3.2,Delayed,11.16,58.2,0,0,4.5
ORD100648,2020-01-01,Pre-MCO,CUST90152,Selangor,Klang Valley Hub,FNB-2461,F&B,Marketplace,5,21.88,5.2,Organic Search,354.11,Direct,542.01,Returning,18-24,E-Wallet,4.6,On-Time,7.25,52.5,0,0,4.4
ORD100755,2020-01-01,Pre-MCO,CUST21421,Penang,Northern Hub,HNL-4709,Home & Living,Mobile App,3,99.95,7.0,Google Ads,296.84,Email Campaign,978.74,New,45-54,Card,1.3,On-Time,11.09,100.0,0,0,4.3
ORD102133,2020-01-02,Pre-MCO,CUST90115,Selangor,Penang Hub,GRC-9916,Groceries,Mobile App,9,25.36,19.9,Organic Search,372.85,Direct,1109.81,Loyal/VIP,25-34,E-Wallet,3.6,Delayed,9.79,47.4,0,0,4.1
ORD100212,2020-01-02,Pre-MCO,CUST90366,Kuala Lumpur,Johor Hub,FSH-6639,Fashion,Marketplace,7,66.3,2.6,Google Ads,201.99,Organic Search,678.1,Loyal/VIP,45-54,E-Wallet,4.2,Delayed,11.4,64.7,0,0,3.3
ORD101913,2020-01-02,Pre-MCO,CUST90279,Selangor,Penang Hub,FNB-2684,F&B,Marketplace,1,20.65,4.3,Organic Search,480.78,Paid Search,550.71,Loyal/VIP,45-54,Card,2.9,On-Time,8.05,33.5,0,1,4.4
ORD100068,2020-01-02,Pre-MCO,CUST90386,Penang,Johor Hub,FNB-3030,F&B,Mobile App,4,17.83,9.8,Email,497.23,Referral,1090.0,Returning,18-24,Card,1.9,On-Time,7.27,21.2,0,0,4.8
ORD101799,2020-01-02,Pre-MCO,CUST90252,Kuala Lumpur,Klang Valley Hub,HPC-6697,Health & Personal Care,Marketplace,6,39.3,25.7,Google Ads,841.63,Social Media,1276.87,Loyal/VIP,35-44,Card,3.1,On-Time,8.18,100.0,0,0,3.9
ORD100268,2020-01-02,Pre-MCO,CUST90192,Kuala Lumpur,Klang Valley Hub,HNL-3112,Home & Living,Mobile App,6,89.08,21.5,Influencer,1208.9,Referral,1238.13,Returning,35-44,Card,2.1,On-Time,7.61,68.6,0,0,4.4
ORD101549,2020-01-03,Pre-MCO,CUST20143,Perak,Johor Hub,GRC-4649,Groceries,Marketplace,4,23.77,4.2,Direct,371.6,Social Media,573.98,New,45-54,COD,2.2,On-Time,10.08,26.2,0,0,4.1
ORD102087,2020-01-03,Pre-MCO,CUST21280,Selangor,Penang Hub,ELE-5288,Electronics,Mobile App,6,382.14,5.7,Google Ads,402.39,Organic Search,2113.58,New,25-34,COD,1.0,On-Time,7.11,47.6,0,0,4.5
ORD101491,2020-01-03,Pre-MCO,CUST90247,Kuala Lumpur,Northern Hub,GRC-2955,Groceries,Website,3,22.85,14.8,Google Ads,145.68,Organic Search,347.96,Returning,35-44,COD,2.4,On-Time,8.5,96.9,0,0,4.3
ORD100883,2020-01-03,Pre-MCO,CUST90050,Penang,Johor Hub,HPC-5641,Health & Personal Care,Mobile App,8,49.0,7.9,Google Ads,433.33,Email Campaign,1123.39,Returning,35-44,Bank Transfer,2.1,On-Time,7.06,81.1,0,0,4.0
ORD101300,2020-01-04,Pre-MCO,CUST21907,Sabah,Sabah/Sarawak Hub,FSH-9447,Fashion,Marketplace,6,52.24,3.2,Affiliate,522.39,Organic Search,1013.24,New,35-44,E-Wallet,3.6,On-Time,23.52,100.0,0,0,3.8
ORD100955,2020-01-04,Pre-MCO,CUST20211,Negeri Sembilan,Northern Hub,ELE-8931,Electronics,Website,2,369.58,4.0,Email,387.62,Email Campaign,1530.61,New,35-44,E-Wallet,4.3,Delayed,11.06,34.3,0,0,4.8
ORD100721,2020-01-05,Pre-MCO,CUST20731,Kuala Lumpur,Northern Hub,ELE-4359,Electronics,Mobile App,3,325.55,11.4,Organic Search,487.61,Organic Search,1402.0,New,25-34,Bank Transfer,2.9,On-Time,12.47,100.0,0,0,4.1
ORD100132,2020-01-05,Pre-MCO,CUST90146,Perak,Northern Hub,HNL-1357,Home & Living,Marketplace,9,89.09,15.1,Influencer,608.53,Email Campaign,1073.42,Returning,25-34,E-Wallet,3.8,Delayed,12.42,9.5,0,0,4.8
ORD100420,2020-01-05,Pre-MCO,CUST21705,Melaka,Klang Valley Hub,ELE-3529,Electronics,Website,6,402.15,9.7,Email,647.28,Social Media,3346.5,New,35-44,Card,3.4,On-Time,8.32,65.9,0,0,4.2
ORD100833,2020-01-05,Pre-MCO,CUST90097,Perak,Klang Valley Hub,ELE-7278,Electronics,Website,2,374.39,6.1,Affiliate,499.28,Paid Search,1633.47,Returning,45-54,E-Wallet,3.4,Delayed,8.6,67.0,0,0,4.1
ORD101024,2020-01-05,Pre-MCO,CUST90125,Selangor,Johor Hub,GRC-5946,Groceries,Mobile App,6,25.18,2.3,Google Ads,1048.49,Email Campaign,2173.42,Returning,35-44,Bank Transfer,2.1,On-Time,8.26,61.3,0,0,4.6
ORD100951,2020-01-06,Pre-MCO,CUST90157,Sarawak,Klang Valley Hub,FSH-8323,Fashion,Marketplace,9,52.11,18.1,Facebook Ads,737.94,Email Campaign,1111.68,Returning,18-24,COD,1.0,Delayed,7.31,100.0,0,1,5.0
ORD101617,2020-01-07,Pre-MCO,CUST90163,Melaka,Klang Valley Hub,HPC-3092,Health & Personal Care,Mobile App,2,46.56,6.8,Email,932.22,Organic Search,1143.16,Loyal/VIP,25-34,Bank Transfer,4.5,Delayed,8.72,42.1,0,0,4.5
ORD102344,2020-01-07,Pre-MCO,CUST20505,Perak,Klang Valley Hub,FSH-2306,Fashion,Marketplace,2,62.74,11.4,Influencer,159.1,Referral,396.53,New,25-34,Card,2.6,On-Time,6.0,36.8,0,0,4.5
ORD101832,2020-01-07,Pre-MCO,CUST90151,Kuala Lumpur,Sabah/Sarawak Hub,HNL-9825,Home & Living,Website,8,81.51,11.4,Email,471.81,Direct,934.09,Returning,35-44,E-Wallet,3.1,On-Time,20.05,55.4,0,0,4.8
ORD100882,2020-01-07,Pre-MCO,CUST90232,Selangor,Klang Valley Hub,HNL-4110,Home & Living,Marketplace,3,101.48,5.7,Affiliate,857.99,Organic Search,1881.49,Returning,18-24,Card,1.0,On-Time,5.28,41.8,0,0,5.0
ORD101251,2020-01-07,Pre-MCO,CUST90075,Sabah,Penang Hub,HNL-7546,Home & Living,Website,3,102.22,21.8,Direct,244.85,Social Media,598.51,Loyal/VIP,55+,E-Wallet,2.1,On-Time,10.21,42.6,0,0,5.0
ORD101685,2020-01-07,Pre-MCO,CUST90408,Kuala Lumpur,Penang Hub,ELE-8897,Electronics,Marketplace,7,394.26,17.8,Direct,429.86,Organic Search,2163.55,Loyal/VIP,35-44,Card,2.0,On-Time,7.87,60.3,0,0,4.1
ORD103354,2020-01-07,Pre-MCO,CUST90237,Perak,Klang Valley Hub,ELE-5955,Electronics,Website,3,308.19,13.3,Affiliate,779.03,Direct,1830.32,Returning,25-34,E-Wallet,6.3,Delayed,8.5,42.3,0,1,3.7
ORD102009,2020-01-08,Pre-MCO,CUST90277,Selangor,Johor Hub,FSH-7017,Fashion,Website,9,67.14,20.7,Google Ads,1093.44,Referral,2964.98,Loyal/VIP,35-44,Card,3.2,Delayed,8.43,50.3,0,0,4.1
ORD103158,2020-01-08,Pre-MCO,CUST90364,Johor,Klang Valley Hub,FSH-9852,Fashion,Mobile App,2,59.14,8.0,Organic Search,541.53,Direct,1175.62,Returning,45-54,COD,4.8,Delayed,9.1,71.2,0,0,4.0
ORD101227,2020-01-08,Pre-MCO,CUST90315,Selangor,Johor Hub,HNL-2699,Home & Living,Marketplace,2,97.06,4.9,Facebook Ads,377.85,Social Media,854.56,Returning,45-54,E-Wallet,2.7,On-Time,9.91,58.0,0,0,4.3
ORD102937,2020-01-08,Pre-MCO,CUST90133,Penang,Klang Valley Hub,HPC-6916,Health & Personal Care,Mobile App,6,45.75,4.7,Email,595.65,Organic Search,1185.7,Returning,45-54,COD,3.5,Delayed,7.66,25.7,0,0,4.5
ORD102510,2020-01-08,Pre-MCO,CUST90106,Sarawak,Northern Hub,GRC-5106,Groceries,Mobile App,4,26.26,13.7,Google Ads,309.97,Organic Search,707.51,Loyal/VIP,55+,Card,2.8,Delayed,10.22,29.8,0,0,4.2
ORD100862,2020-01-08,Pre-MCO,CUST90316,Johor,Northern Hub,GRC-1228,Groceries,Marketplace,5,24.31,17.9,Direct,60.8,Direct,156.59,Loyal/VIP,35-44,Bank Transfer,1.2,On-Time,11.09,17.2,0,0,4.5
ORD100693,2020-01-08,Pre-MCO,CUST90029,Sarawak,Klang Valley Hub,HNL-6187,Home & Living,Website,2,93.69,3.5,Google Ads,1145.35,Direct,1714.63,Loyal/VIP,25-34,Bank Transfer,3.8,On-Time,7.78,79.4,0,0,3.5
ORD100275,2020-01-09,Pre-MCO,CUST90197,Selangor,Northern Hub,FSH-6879,Fashion,Website,6,56.6,9.3,Organic Search,686.82,Direct,1233.25,Loyal/VIP,55+,E-Wallet,1.9,On-Time,9.21,59.1,0,0,4.6
ORD100598,2020-01-09,Pre-MCO,CUST90417,Johor,Sabah/Sarawak Hub,ELE-1412,Electronics,Website,3,303.63,8.6,Google Ads,475.94,Social Media,1576.95,Returning,35-44,Card,2.8,On-Time,23.33,77.0,0,0,4.0
ORD101816,2020-01-09,Pre-MCO,CUST90168,Penang,Johor Hub,HNL-1368,Home & Living,Marketplace,3,102.1,13.4,Google Ads,101.85,Organic Search,350.17,Loyal/VIP,25-34,Card,4.6,Delayed,8.19,58.0,0,1,3.7
ORD100718,2020-01-10,Pre-MCO,CUST90240,Melaka,Klang Valley Hub,GRC-4983,Groceries,Mobile App,8,22.69,8.6,Affiliate,820.67,Social Media,1475.04,Loyal/VIP,25-34,Card,1.0,On-Time,6.33,36.8,0,0,5.0
ORD100989,2020-01-10,Pre-MCO,CUST90386,Selangor,Penang Hub,FSH-3379,Fashion,Website,3,53.75,7.1,Google Ads,822.49,Organic Search,1200.64,Returning,18-24,E-Wallet,3.2,Delayed,8.24,81.7,0,0,4.5
ORD102495,2020-01-10,Pre-MCO,CUST90019,Johor,Klang Valley Hub,GRC-6935,Groceries,Marketplace,6,24.83,11.1,Google Ads,54.25,Referral,227.93,Returning,35-44,Bank Transfer,1.0,On-Time,6.46,79.9,0,0,4.9
ORD102662,2020-01-10,Pre-MCO,CUST90026,Kedah,Klang Valley Hub,BNK-2969,Baby & Kids,Mobile App,5,54.42,6.6,Facebook Ads,474.25,Referral,648.06,Returning,35-44,Card,3.2,On-Time,7.16,26.8,0,0,4.2
ORD102167,2020-01-10,Pre-MCO,CUST90171,Penang,Sabah/Sarawak Hub,HNL-2819,Home & Living,Mobile App,3,91.08,10.5,Email,364.23,Referral,712.94,Returning,35-44,Card,2.4,On-Time,20.28,38.1,0,1,4.3
ORD101940,2020-01-10,Pre-MCO,CUST20325,Perak,Klang Valley Hub,GRC-1877,Groceries,Mobile App,6,23.74,4.8,Email,593.34,Social Media,502.23,New,25-34,Card,3.6,On-Time,6.42,43.4,0,0,4.1
ORD101514,2020-01-11,Pre-MCO,CUST90307,Kuala Lumpur,Sabah/Sarawak Hub,HPC-7808,Health & Personal Care,Website,5,42.02,12.2,Email,302.35,Email Campaign,595.78,Returning,18-24,E-Wallet,2.0,On-Time,22.95,80.0,0,0,5.0
ORD101099,2020-01-11,Pre-MCO,CUST90123,Sabah,Klang Valley Hub,GRC-5877,Groceries,Website,2,24.84,2.5,Organic Search,183.46,Social Media,318.79,Returning,45-54,COD,1.0,On-Time,7.54,41.1,0,0,4.5
